09-25 13:25:07.065 I/Sentry  ( 6695): ALERT[replay] 11:53:24 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SW 4,500 ft · 160 kt · 200 below, climbing · 200 below, climbing through your altitude · 19 s · Clear: move NW ↑ S=2.29
09-25 13:25:07.079 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:25:10.066 I/Sentry  ( 6695): ALERT[replay] 11:53:27 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · S 3,800 ft · 160 kt · 200 below, climbing · 200 below, climbing through your altitude · 19 s · Clear: move NW ↑ S=1.94
09-25 13:25:10.082 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:25:13.068 I/Sentry  ( 6695): ALERT[replay] 11:53:30 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · S 3,100 ft · 158 kt · 100 below, climbing · 100 below, climbing through your altitude · 12 s · Clear: move NW ↑ S=1.54
09-25 13:25:13.084 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:25:16.069 I/Sentry  ( 6695): ALERT[replay] 11:53:33 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · S 2,400 ft · 159 kt · 100 below, climbing · 100 below, climbing through your altitude · 9 s · Clear: move NW ↑ S=1.21
09-25 13:25:16.085 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:25:19.071 I/Sentry  ( 6695): ALERT[replay] 11:53:36 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · S 1,900 ft · 159 kt · 100 below, climbing · 100 below, climbing through your altitude · 9 s · Clear: move NW ↑ S=0.98
09-25 13:25:19.090 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:25:22.072 I/Sentry  ( 6695): ALERT[replay] 11:53:39 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · SE 1,200 ft · 159 kt · same alt, climbing · same alt, climbing through your altitude · 3 s · Clear: move NW ↑ S=0.62
09-25 13:25:22.087 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:25:25.073 I/Sentry  ( 6695): ALERT[replay] 11:53:42 PDT COLLISION RISK TRAFFIC/REPEAT sound=collision/full banner=SILENT: ‼ COLLISION RISK · N388KM · E 1,500 ft · 160 kt · same alt, climbing · same alt, climbing through your altitude · 0 s · Clear: move NW ↑ S=0.61
09-25 13:25:25.087 I/Sentry  ( 6695): SOUND collision/full level_default
09-25 13:25:28.074 I/Sentry  ( 6695): ALERT[replay] 11:53:45 PDT WARNING PASSING/OTHER sound=passing/full banner=SILENT: ● PASSING · N388KM · E 2,000 ft · 160 kt · same alt, climbing · Diverging · closest was 1,200 ft S=0.61
09-25 13:25:28.096 I/Sentry  ( 6695): SOUND passing/full level_default
09-25 13:25:39.082 I/Sentry  ( 6695): ALERT[replay] 11:53:56 PDT CAUTION TRAFFIC/DOWNGRADE sound=- banner=SILENT: ● PASSING · N388KM · NE 4,400 ft · 161 kt · 100 above, climbing · Diverging · closest was 1,200 ft S=0.61
